;Mkt-RF;SMB;HML;RMW;CMA;RF
31-01-2007;0,61;1,99;0,77;-0,65;0,58;0,44
28-02-2007;-0,51;1,36;-0,09;1,04;0,64;0,38
31-03-2007;3,71;0,71;0,04;0,94;0,21;0,43
30-04-2007;5,54;-0,21;1,26;0,12;0,29;0,44
31-05-2007;1,56;-0,75;0,56;0,99;1,08;0,41
30-06-2007;-0,16;-0,49;0,4;2,27;0,46;0,4
31-07-2007;-2,22;1,9;-0,36;1,33;-0,52;0,4
31-08-2007;-2,08;-3,04;-0,06;0,65;1,03;0,42
30-09-2007;4,82;-3,8;-0,85;-0,73;-0,86;0,32
31-10-2007;4,34;0,24;-0,92;1,48;-1,39;0,32
30-11-2007;-4,03;-4,47;-1,76;0,49;1,54;0,34
31-12-2007;-2,1;-0,97;1,22;-0,12;0,55;0,27
31-01-2008;-10,01;0,47;-0,01;-0,93;1,58;0,21
29-02-2008;1,96;2,63;-0,51;0,51;-1,28;0,13
31-03-2008;0,26;-0,61;2,37;-0,81;-0,22;0,17
30-04-2008;4,41;-2,61;-0,01;1,73;-0,8;0,18
31-05-2008;0,85;0,37;-1,17;0,41;-0,86;0,18
30-06-2008;-8,68;1,92;-0,7;-0,02;1,34;0,17
31-07-2008;-3,83;-1,86;0,95;-0,74;1,1;0,15
31-08-2008;-4,57;0,3;-0,09;0,7;1,81;0,13
30-09-2008;-15,07;-2,7;0,91;-0,18;5,43;0,15
31-10-2008;-22,02;-4,65;-3,53;4,09;4,58;0,08
30-11-2008;-7,18;-1,17;-3,63;0,93;3,17;0,03
31-12-2008;6,7;-1,48;1,21;-1,72;3,6;0
31-01-2009;-10,99;4,71;-4,05;1,37;-1,87;0
28-02-2009;-9,96;4,32;-4,23;3,34;-0,41;0,01
31-03-2009;6,94;-2,35;1,46;0,79;-2,76;0,02
30-04-2009;13,67;2,09;6,66;-1,49;-3,56;0,01
31-05-2009;12,86;1,09;-1,24;1,35;-2,67;0
30-06-2009;-1,87;1,61;-1,19;0,29;0,45;0,01
31-07-2009;10,18;-3,4;3,78;0,19;-0,26;0,01
31-08-2009;5,65;2,64;7,53;-4,74;2,47;0,01
30-09-2009;5,43;1,94;1,13;0,19;1,21;0,01
31-10-2009;-1,85;1,44;-3,28;2,86;-0,36;0
30-11-2009;3;-1,99;-1,22;2,94;0,83;0
31-12-2009;0,94;-1,88;-1,24;2,06;-0,01;0,01
31-01-2010;-5,28;4,68;-1,87;1,49;-0,04;0
28-02-2010;-2,1;-0,83;-1,79;0,75;-0,53;0
31-03-2010;6,41;-0,71;4,27;0,12;-0,38;0,01
30-04-2010;-1,66;3,12;-0,29;2,25;-0,74;0,01
31-05-2010;-12,05;-0,55;-3,59;0,68;-0,85;0,01
30-06-2010;-0,98;-0,07;-2,22;-1,07;-1,11;0,01
31-07-2010;11,88;-1,71;4,59;-2,85;0,97;0,01
31-08-2010;-4,26;-0,07;-2,69;2,63;-2,11;0,01
30-09-2010;11,56;0,92;-0,26;-0,5;1,55;0,01
31-10-2010;4,98;0,61;0,07;1,39;-0,32;0,01
30-11-2010;-8,03;1,06;-3,42;1,75;0,12;0,01
31-12-2010;9,04;2,12;1,17;-1,67;1,17;0,01
31-01-2011;3,68;-0,16;5,47;-3;1,31;0,01
28-02-2011;3,06;-1,08;0,7;0,5;0,06;0,01
31-03-2011;-0,17;2,12;-1,85;1,96;-0,35;0,01
30-04-2011;8,14;-1,08;-0,76;1,06;0,69;0
31-05-2011;-3,06;0,21;-2,25;1,86;-0,6;0
30-06-2011;-2,05;-1,2;0,08;1,05;-0,69;0
31-07-2011;-3,33;0,22;-4,05;2,24;-0,48;0
31-08-2011;-10,1;0,87;-3,79;3,52;-1,12;0,01
30-09-2011;-11,61;-1,13;-1,88;2,27;1,44;0
31-10-2011;10,97;-3,38;-1,23;1,27;-3;0
30-11-2011;-4,84;-2,52;-3,36;2,73;-0,42;0
31-12-2011;-2,2;-0,98;-1,06;0,38;0,27;0
31-01-2012;5,68;2,67;1,06;-2,08;-2,1;0
29-02-2012;6,41;1,38;-0,36;-0,79;-0,76;0
31-03-2012;0,02;0,76;-1,41;1;1,64;0
30-04-2012;-2,23;1,25;-4,19;3,01;-0,67;0
31-05-2012;-12,32;0,31;-2,58;2,64;1,39;0,01
30-06-2012;7,13;-4,35;3,13;-0,45;2,02;0
31-07-2012;0,56;-1,34;-2,58;2,46;-2,16;0
31-08-2012;4,5;0,06;3,19;-1,86;1,48;0,01
30-09-2012;3,49;1,65;2,16;-1,52;0,82;0,01
31-10-2012;1,66;-0,56;1,78;-1,13;-0,33;0,01
30-11-2012;2,27;-2,44;-0,58;0,56;-0,93;0,01
31-12-2012;3,38;2,5;3,03;-0,73;0,83;0,01
31-01-2013;6,2;0,63;4,33;-3,48;1,77;0
28-02-2013;-2,49;1,97;-3,35;2;-1,35;0
31-03-2013;-0,54;-0,82;-4,3;2,24;-0,28;0
30-04-2013;4,16;-1,38;3,67;-1,06;1,21;0
31-05-2013;1,05;1,22;2,82;-1,05;-0,13;0
30-06-2013;-4,64;2,14;-2,56;2,22;0,45;0
31-07-2013;7,45;-1,45;2,8;-0,62;0,29;0
31-08-2013;-0,7;2,64;0,51;-0,01;0,92;0
30-09-2013;7,05;0,14;1,38;-0,92;1,56;0
31-10-2013;4,49;0,02;4,39;-1,74;1,76;0
30-11-2013;1,33;0,8;-0,42;0,68;0,63;0
31-12-2013;2,37;0,56;-0,2;0,38;0,28;0
31-01-2014;-3,03;3,64;2,58;-1,22;2,05;0
28-02-2014;7,42;0,54;0,37;0,69;0,95;0
31-03-2014;-0,54;0,65;1,72;1,06;0,12;0
30-04-2014;1,77;-2,05;0,29;0,45;-1,14;0
31-05-2014;0,77;-0,6;-0,41;0,67;-0,39;0
30-06-2014;-0,12;0,21;-1,76;2,07;-0,96;0
31-07-2014;-4,1;-0,61;0,4;-1,63;0,4;0
31-08-2014;-0,02;-0,93;-1,01;0,23;-0,77;0
30-09-2014;-3,79;-2,17;-0,44;-0,44;0,38;0
31-10-2014;-2,7;-1,14;-3,09;2,33;-0,53;0
30-11-2014;2,12;-1,35;-1,82;0,67;0,24;0
31-12-2014;-3,7;2,31;-2,35;1,57;-1,93;0
31-01-2015;-0,31;-1,54;-3,52;2,84;-1,07;0
28-02-2015;6,21;0,87;1,96;-1,97;-0,13;0
31-03-2015;-2,28;-0,32;-0,35;0,01;0,79;0
30-04-2015;4,79;2,07;0,33;0,02;-0,41;0
31-05-2015;-0,15;1,51;-2,47;0,06;-0,66;0
30-06-2015;-2,84;1,95;0,15;-0,15;-0,22;0
31-07-2015;2,39;-0,93;-2,65;0,94;-0,75;0
31-08-2015;-6,02;3,63;-1;0,79;-0,9;0
30-09-2015;-4,27;1,17;-3,63;2,7;-0,98;0
31-10-2015;6,19;-2,94;-0,77;1,98;-0,06;0
30-11-2015;-1,49;0,31;-2,8;3,03;-2,12;0
31-12-2015;-1,86;3,74;-1,25;0,67;-1,65;0,01
31-01-2016;-6,43;-0,62;-1,49;2,47;2,28;0,01
29-02-2016;-1,71;1,47;0,37;0,65;0,88;0,02
31-03-2016;6,7;1,79;1,19;0,74;-1,12;0,02
30-04-2016;2,38;-0,56;3,35;-1,88;0,9;0,01
31-05-2016;-0,38;1,41;-2,87;1,76;-0,48;0,01
30-06-2016;-5,01;-2,24;-1,64;3,25;2,82;0,02
31-07-2016;4,44;1,51;0,21;0,07;-0,86;0,02
31-08-2016;0,78;1,7;1,93;-1,92;-0,01;0,02
30-09-2016;0,95;0,97;-0,15;0,32;0,03;0,02
31-10-2016;-3,08;-0,5;6,36;-3,85;2,96;0,02
30-11-2016;-2,5;1;1,92;-1,54;1,87;0,01
31-12-2016;4,72;-0,82;1,99;-0,9;1,05;0,03
31-01-2017;2,84;2,12;0,47;-0,24;0,18;0,04
28-02-2017;0,68;0,03;-2,6;2,73;-1,32;0,04
31-03-2017;4,27;-1,28;0,5;0,12;-0,28;0,03
30-04-2017;4,63;1,94;-1,3;1,6;-1,32;0,05
31-05-2017;5,03;0,02;-0,79;1,21;-0,69;0,06
30-06-2017;-0,67;1,62;2,03;-2,01;0,79;0,06
31-07-2017;3,49;0,68;2,59;-2,24;0,34;0,07
31-08-2017;0,11;0,03;-0,71;1,45;-0,03;0,09
30-09-2017;2,72;-0,16;0,47;0,33;-0,5;0,09
31-10-2017;0,59;-0,99;-0,13;0,1;-0,32;0,09
30-11-2017;-0,01;-0,29;1,29;-0,38;0,9;0,08
31-12-2017;1,47;1,54;0,5;-0,74;0,33;0,09
31-01-2018;5,52;0,64;1,1;-2,14;0,91;0,11
28-02-2018;-5,35;1,1;-0,75;0,19;-0,25;0,11
31-03-2018;-0,71;-0,56;-0,94;1,45;-1,37;0,12
30-04-2018;2,2;-0,7;1,51;-0,52;0,43;0,14
31-05-2018;-2,73;1,07;-4,98;2,38;-2,42;0,14
30-06-2018;-0,92;-0,9;-1,56;-0,16;-0,57;0,14
31-07-2018;2,69;-2,05;0,4;-0,53;-0,86;0,16
